,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,CDP,COPT Defense Properties,3.10B,-0.11%,756776,748.56M
83,BNL,"Broadstone Net Lease, Inc.",3.05B,0.19%,2962579,435.12M
84,PCH,PotlatchDeltic Corporation,3.01B,-0.29%,540613,1.10B
85,DEI,"Douglas Emmett, Inc.",2.84B,-0.85%,1277840,995.66M
86,MPW,"Medical Properties Trust, Inc.",2.75B,0.44%,8778071,994.72M
87,APLE,"Apple Hospitality REIT, Inc.",2.73B,-0.95%,2427321,1.43B
88,FCPT,"Four Corners Property Trust, Inc.",2.72B,0.30%,526778,273.08M
89,OUT,OUTFRONT Media Inc.,2.62B,-0.19%,1273116,1.81B
90,NMRK,"Newmark Group, Inc.",2.60B,-,1066098,2.86B
91,AKR,Acadia Realty Trust,2.59B,0.05%,799488,387.33M
92,JOE,The St. Joe Company,2.52B,-0.07%,155520,409.15M
93,LXP,LXP Industrial Trust,2.43B,-1.20%,3291637,361.07M
94,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.40B,0.48%,189813,258.93M
95,CURB,Curbline Properties Corp.,2.35B,-,454496,131.54M
96,UE,Urban Edge Properties,2.34B,-0.28%,654429,453.51M
97,CWK,Cushman & Wakefield plc,2.23B,0.10%,1534089,9.55B
98,IVT,InvenTrust Properties Corp.,2.12B,-0.22%,433713,280.95M
99,PK,Park Hotels & Resorts Inc.,2.03B,-0.88%,3776743,2.60B
100,ESRT,"Empire State Realty Trust, Inc.",2.00B,0.14%,1196717,762.04M
101,ABR,"Arbor Realty Trust, Inc.",1.98B,6.28%,8696156,612.89M
102,ESBA,"Empire State Realty OP, L.P.",1.97B,-0.14%,17615,762.04M
103,SHO,"Sunstone Hotel Investors, Inc.",1.72B,0.23%,4149308,922.71M
104,GNL,"Global Net Lease, Inc.",1.72B,2.25%,1484761,789.55M
105,LTC,"LTC Properties, Inc.",1.62B,1.23%,334096,202.69M
106,CCS,"Century Communities, Inc.",1.62B,1.90%,724968,4.35B
107,GTY,Getty Realty Corp.,1.58B,0.71%,279796,206.75M
108,IIPR,"Innovative Industrial Properties, Inc.",1.56B,-0.02%,147305,304.79M
109,DRH,DiamondRock Hospitality Company,1.54B,-0.80%,1651559,1.13B
110,VRE,"Veris Residential, Inc.",1.49B,-1.29%,395008,279.63M
111,AAT,"American Assets Trust, Inc.",1.47B,-0.26%,309421,451.28M
112,JBGS,JBG SMITH Properties,1.43B,0.12%,1028959,520.83M
113,PGRE,"Paramount Group, Inc.",1.39B,1.57%,3305034,711.73M
114,UMH,"UMH Properties, Inc.",1.38B,0.55%,661938,243.78M
115,ELME,Elme Communities,1.38B,-0.70%,500651,243.92M
116,SILA,"Sila Realty Trust, Inc.",1.35B,0.16%,376326,184.47M
117,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.34B,0.31%,742300,276.84M
118,LADR,Ladder Capital Corp,1.32B,0.68%,961600,259.16M
119,ARR,"ARMOUR Residential REIT, Inc.",1.31B,0.19%,1735318,44.78M
120,NTST,NETSTREIT Corp.,1.29B,1.10%,446393,171.02M
121,DX,"Dynex Capital, Inc.",1.27B,-1.17%,2793278,108.02M
122,RDFN,Redfin Corporation,1.27B,1.23%,3381352,1.04B
123,ALEX,"Alexander & Baldwin, Inc.",1.26B,-0.46%,295707,236.06M
124,XHR,"Xenia Hotels & Resorts, Inc.",1.21B,-0.69%,626233,1.06B
125,EFC,Ellington Financial Inc.,1.21B,-0.47%,922183,308.37M
126,AIV,Apartment Investment and Management Company,1.20B,-0.51%,809199,210.83M
127,EXPI,"eXp World Holdings, Inc.",1.19B,-0.33%,864087,4.58B
128,IRS,IRSA Inversiones y Representaciones Sociedad Anónima,1.17B,0.85%,84556,308.54M
129,TWO,Two Harbors Investment Corp.,1.13B,-3.73%,4177593,370.70M
130,BFS,"Saul Centers, Inc.",1.12B,0.09%,46460,274.01M
131,MMI,"Marcus & Millichap, Inc.",1.10B,0.39%,127680,711.99M
132,ALX,"Alexander's, Inc.",1.09B,-0.96%,29664,219.89M
133,CSR,Centerspace,1.08B,-0.36%,82423,263.57M
134,RLJ,RLJ Lodging Trust,1.07B,-0.42%,2565850,1.37B
135,PMT,PennyMac Mortgage Investment Trust,1.06B,-0.73%,537083,591.25M
136,PEB,Pebblebrook Hotel Trust,1.06B,-2.21%,1836948,1.46B
137,DEA,"Easterly Government Properties, Inc.",1.06B,1.15%,393220,314.39M
138,CIM,Chimera Investment Corporation,1.05B,-0.69%,578498,326.76M
139,SAFE,Safehold Inc.,1.04B,-0.14%,204784,391.21M
140,UNIT,Uniti Group Inc.,1.03B,-4.55%,2993174,1.17B
141,FOR,Forestar Group Inc.,960.57M,0.64%,127180,1.47B
142,MFA,"MFA Financial, Inc.",958.78M,-0.21%,853924,292.25M
143,FBRT,"Franklin BSP Realty Trust, Inc.",892.85M,0.46%,438439,175.69M
144,AMBR,Amber International Holding Limited,888.16M,3.80%,249566,1.11M
145,SDHC,Smith Douglas Homes Corp.,886.61M,2.44%,36125,1.01B
146,REAX,The Real Brokerage Inc.,851.61M,0.49%,538469,1.42B
147,NXRT,"NexPoint Residential Trust, Inc.",845.40M,-2.12%,143415,255.53M
148,KW,"Kennedy-Wilson Holdings, Inc.",839.44M,-0.16%,1375773,514.60M
149,PDM,"Piedmont Office Realty Trust, Inc.",811.14M,1.09%,1040525,568.47M
150,FPH,"Five Point Holdings, LLC",803.73M,-1.28%,85689,241.15M
151,DHC,Diversified Healthcare Trust,757.53M,4.32%,712133,1.51B
152,CBL,"CBL & Associates Properties, Inc.",752.79M,-0.21%,138778,528.21M
153,ORC,"Orchid Island Capital, Inc.",738.18M,0.44%,2689096,52.24M
154,PLYM,"Plymouth Industrial REIT, Inc.",733.39M,-0.44%,259196,180.51M
155,RWT,"Redwood Trust, Inc.",724.16M,-1.09%,835909,241.80M
156,RC,Ready Capital Corporation,718.14M,1.45%,2205600,-110.85M
157,BDN,Brandywine Realty Trust,711.21M,-1.20%,1883503,312.54M
158,AHH,"Armada Hoffler Properties, Inc.",710.59M,1.90%,1449143,627.96M
159,BRSP,"BrightSpire Capital, Inc.",656.22M,-0.98%,467758,340.60M
160,GOOD,Gladstone Commercial Corporation,641.56M,0.58%,334294,151.17M
161,WSR,Whitestone REIT,621.55M,-0.50%,241355,155.13M
162,SITC,SITE Centers Corp.,608.89M,-1.19%,542769,227.53M
163,KREF,KKR Real Estate Finance Trust Inc.,608.22M,1.01%,473670,97.48M
164,TRTX,"TPG RE Finance Trust, Inc.",606.12M,0.26%,436505,148.01M
165,CTO,"CTO Realty Growth, Inc.",587.56M,0.51%,193066,132.20M
166,NYMT,"New York Mortgage Trust, Inc.",579.71M,-0.62%,521011,192.56M
167,STRW,"Strawberry Fields REIT, Inc.",548.91M,0.20%,29517,126.56M
168,UHT,Universal Health Realty Income Trust,526.22M,0.21%,44647,99.73M
169,OLP,"One Liberty Properties, Inc.",507.68M,-0.17%,26250,92.15M
170,INN,"Summit Hotel Properties, Inc.",507.50M,-0.95%,1219588,728.12M
171,FRPH,"FRP Holdings, Inc.",505.24M,-0.36%,61134,31.58M
172,FPI,Farmland Partners Inc.,503.76M,-0.56%,358572,56.54M
173,OPEN,Opendoor Technologies Inc.,496.16M,0.10%,94122996,5.13B
174,IVR,Invesco Mortgage Capital Inc.,484.68M,0.27%,1139485,69.84M
175,RMR,The RMR Group Inc.,461.26M,0.03%,88693,197.67M
176,NLOP,Net Lease Office Properties,456.27M,-0.16%,84833,127.45M
177,PKST,Peakstone Realty Trust,440.54M,0.17%,142566,225.82M
178,GMRE,Global Medical REIT Inc.,428.56M,0.65%,540674,138.22M
179,CHCT,Community Healthcare Trust Incorporated,423.83M,-1.00%,159386,116.53M
180,LSEA,Landsea Homes Corporation,411.06M,0.71%,1461136,1.57B
181,PSTL,"Postal Realty Trust, Inc.",401.97M,0.31%,156492,81.24M
182,HOUS,Anywhere Real Estate Inc.,373.43M,3.73%,1397445,5.77B
183,SVC,Service Properties Trust,361.60M,-2.04%,994805,1.90B
184,CLDT,Chatham Lodging Trust,348.93M,0.29%,208174,316.30M
185,LAND,Gladstone Land Corporation,347.01M,0.95%,300872,81.66M
186,NREF,"NexPoint Real Estate Finance, Inc.",339.01M,-0.13%,17604,111.00M
187,FVR,"FrontView REIT, Inc.",330.04M,-0.09%,305957,60.90M
188,CMTG,"Claros Mortgage Trust, Inc.",326.11M,-0.43%,813070,22.19M
189,MLP,"Maui Land & Pineapple Company, Inc.",308.17M,-0.51%,7678,14.89M
190,REFI,"Chicago Atlantic Real Estate Finance, Inc.",304.03M,-0.21%,94529,56.79M
191,BRT,BRT Apartments Corp.,302.54M,-0.39%,26660,98.16M
192,TCI,"Transcontinental Realty Investors, Inc.",288.90M,0.33%,1588,47.45M
193,HPP,"Hudson Pacific Properties, Inc.",275.00M,-2.08%,2451955,818.70M
194,NEN,New England Realty Associates Limited Partnership,266.12M,-1.40%,4594,82.53M
195,LPA,Logistic Properties of the Americas,263.10M,18.86%,145049,45.22M
196,DOUG,Douglas Elliman Inc.,257.34M,35.51%,14349848,1.05B
197,ACRE,Ares Commercial Real Estate Corporation,248.53M,-1.09%,599192,67.13M
198,OZ,"Belpointe PREP, LLC",246.85M,0.78%,585,4.08M
199,RMAX,"RE/MAX Holdings, Inc.",233.64M,1.41%,205331,303.87M
200,PINE,"Alpine Income Property Trust, Inc.",230.81M,0.61%,60151,53.97M
201,SEG,Seaport Entertainment Group Inc.,230.15M,2.84%,103288,90.50M
202,AOMR,"Angel Oak Mortgage REIT, Inc.",216.67M,1.21%,120771,57.15M
203,ARL,"American Realty Investors, Inc.",212.40M,-0.83%,1576,48.23M
204,ILPT,Industrial Logistics Properties Trust,203.72M,-0.65%,259846,441.99M
205,MITT,"AG Mortgage Investment Trust, Inc.",203.58M,-0.44%,110825,79.96M
206,CIO,"City Office REIT, Inc.",191.30M,-0.21%,118508,168.89M
207,FSP,Franklin Street Properties Corp.,188.49M,-1.09%,202724,115.99M
208,SEVN,Seven Hills Realty Trust,172.46M,-0.94%,38234,30.07M
209,CLPR,Clipper Realty Inc.,167.31M,-,47403,152.41M
210,MDV,"Modiv Industrial, Inc.",165.85M,-0.35%,37151,46.74M
211,SRG,Seritage Growth Properties,160.38M,0.71%,167383,13.39M
212,BHR,Braemar Hotels & Resorts Inc.,147.85M,-3.38%,483339,723.59M
213,STRS,Stratus Properties Inc.,142.24M,-2.13%,7093,32.72M
214,SUNS,"Sunrise Realty Trust, Inc.",141.73M,0.19%,63770,13.07M
215,BHM,"Bluerock Homes Trust, Inc.",134.91M,-0.48%,2208,67.39M
216,LFT,"Lument Finance Trust, Inc.",127.67M,1.67%,108375,27.07M
217,ACR,ACRES Commercial Realty Corp.,124.69M,0.72%,33089,83.55M
218,RPT,Rithm Property Trust Inc.,121.28M,2.30%,90303,-7.44M
219,GPMT,Granite Point Mortgage Trust Inc.,115.21M,0.42%,325931,-98.23M
220,AXR,AMREP Corporation,114.62M,-1.27%,16153,58.05M
221,AFCG,Advanced Flower Capital Inc.,106.65M,-2.28%,211810,41.04M
222,ONL,Orion Properties Inc.,99.46M,2.31%,587701,154.80M
223,CHMI,Cherry Hill Mortgage Investment Corporation,99.30M,-,157276,27.51M
224,CHCI,"Comstock Holding Companies, Inc.",91.22M,-1.95%,26173,53.30M
225,STHO,Star Holdings,80.98M,-2.25%,75802,113.30M
226,MAYS,"J.W. Mays, Inc.",75.65M,0.54%,10,22.04M
227,ASPS,Altisource Portfolio Solutions S.A.,74.88M,2.05%,109546,164.10M
228,SELF,"Global Self Storage, Inc.",62.54M,-1.26%,30220,12.62M
229,LOAN,"Manhattan Bridge Capital, Inc.",58.91M,0.20%,23288,7.29M
230,SACH,Sachem Capital Corp.,43.53M,-,44434,-5.78M
231,AHT,"Ashford Hospitality Trust, Inc.",35.70M,0.67%,22488,1.14B
232,RFL,"Rafael Holdings, Inc.",34.63M,2.96%,44550,706.00K
233,FTHM,Fathom Holdings Inc.,33.33M,2.13%,57863,357.82M
234,IHT,InnSuites Hospitality Trust,28.44M,-4.80%,19784,7.59M
235,NYC,American Strategic Investment Co.,27.96M,-1.85%,3964,58.40M
236,OPAD,Offerpad Solutions Inc.,27.12M,-0.78%,26537,794.16M
237,AIRE,reAlpha Tech Corp.,26.14M,-3.41%,435454,1.85M
238,LGPS,LogProstyle Inc.,22.57M,14.88%,335654,130.73M
239,RMSG,Real Messenger Corporation,20.18M,-6.31%,47920,-
240,GYRO,"Gyrodyne, LLC",20.05M,-5.89%,4,2.74M
241,LRE,"Lead Real Estate Co., Ltd",18.42M,-0.74%,665,117.80M
242,MDRR,"Medalist Diversified REIT, Inc.",17.06M,-1.67%,332,9.49M
243,XIN,"Xinyuan Real Estate Co., Ltd.",16.61M,-0.97%,3446,514.67M
244,SOHO,Sotherly Hotels Inc.,16.02M,-0.98%,38943,182.16M
245,OPI,Office Properties Income Trust,13.91M,-1.90%,728674,476.16M
246,MKZR,"MacKenzie Realty Capital, Inc.",13.61M,-3.01%,54160,23.04M
247,OMH,Ohmyhome Limited,13.45M,-2.34%,85001,7.98M
248,WETH,Wetouch Technology Inc.,11.67M,-0.20%,6465,41.02M
249,DUO,Fangdd Network Group Ltd.,11.25M,-0.99%,1825165,46.46M
250,AEI,Alset Inc.,9.72M,-2.69%,224188,16.10M
251,GIPR,"Generation Income Properties, Inc.",8.76M,-1.23%,9899,9.71M
252,SQFT,"Presidio Property Trust, Inc.",7.83M,2.03%,485,18.26M
253,ALBT,Avalon GloboCare Corp.,7.14M,-2.34%,6373,807.24K
254,CMCT,Creative Media & Community Trust Corporation,5.64M,0.81%,16399,121.18M
255,LRHC,La Rosa Holdings Corp.,5.26M,0.36%,1690862,69.45M
256,GBR,"New Concept Energy, Inc.",4.52M,2.33%,19236,148.00K
257,PW,Power REIT,3.86M,-1.55%,2824,3.00M
258,UOKA,MDJM Ltd,2.44M,-,76176,48.38K
259,UK,Ucommune International Ltd,2.40M,-1.74%,4209,23.92M
260,SGD,Safe and Green Development Corporation,1.72M,3.45%,162700,175.91K
261,WHLR,"Wheeler Real Estate Investment Trust, Inc.",428.76K,-1.72%,772621,102.79M
