,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
591,SDHI,Siddhi Acquisition Corp.,307.75M,0.10%,22208,-
592,TACO,Berto Acquisition Corp.,307.20M,0.39%,180218,-
593,RAC,Rithm Acquisition Corp.,306.99M,0.79%,354,-
594,HIVE,HIVE Digital Technologies Ltd.,306.02M,-2.49%,18766180,121.00M
595,CCCM,Columbus Circle Capital Corp I,304.29M,-0.10%,324748,-
596,POLE,Andretti Acquisition Corp. II,303.36M,-,3732,-
597,INV,"Innventure, Inc.",303.27M,0.54%,95041,1.22M
598,VCIC,Vine Hill Capital Investment Corp.,302.13M,-,23,-
599,PDLB,"Ponce Financial Group, Inc.",302.13M,0.61%,44372,86.68M
600,JACS,Jackson Acquisition Company II,302.11M,0.10%,600,-
601,HRZN,Horizon Technology Finance Corporation,301.45M,0.40%,339846,98.30M
602,CLBR,Colombier Acquisition Corp. II,298.56M,0.36%,573420,-
603,GRAF,Graf Global Corp.,298.43M,-,2227,-
604,LPAA,Launch One Acquisition Corp.,298.14M,-,433,-
605,LPBB,Launch Two Acquisition Corp.,296.41M,0.19%,2842,-
606,OYSE,Oyster Enterprises II Acquisition Corp,295.50M,-0.10%,1570022,-
607,AACB,Artius II Acquisition Inc.,295.18M,-0.10%,142,-
608,CZNC,Citizens & Northern Corporation,294.24M,-,27667,108.11M
609,PCAP,ProCap Acquisition Corp,294.05M,-0.65%,685706,-
610,SFST,"Southern First Bancshares, Inc.",293.67M,-1.21%,12588,97.50M
611,FSBW,"FS Bancorp, Inc.",293.37M,0.34%,13394,139.61M
612,TVA,Texas Ventures Acquisition III Corp,291.38M,-,302,-
613,WALD,Waldencast plc,290.85M,0.42%,71420,273.87M
614,PBFS,"Pioneer Bancorp, Inc.",289.76M,-0.60%,12364,88.64M
615,LOKV,Live Oak Acquisition Corp. V,289.51M,-,1,-
616,ONIT,Onity Group Inc.,288.63M,-2.30%,64506,986.70M
617,BCML,BayCom Corp,286.80M,-1.24%,21083,95.71M
618,OBT,"Orange County Bancorp, Inc.",286.30M,-1.37%,14735,100.88M
619,RBB,RBB Bancorp,286.14M,-1.23%,41777,98.31M
620,MKTW,"MarketWise, Inc.",284.66M,-1.52%,12920,383.22M
621,NEWT,"NewtekOne, Inc.",283.44M,0.33%,133672,352.58M
622,CZFS,"Citizens Financial Services, Inc.",281.06M,-5.58%,6612,99.93M
623,HFRO,Highland Funds I - Highland Opportunities and Income Fund,278.29M,-0.20%,87260,-
624,PCB,PCB Bancorp,278.23M,-1.52%,26038,98.72M
625,GHI,Greystone Housing Impact Investors LP,276.79M,2.69%,36574,34.07M
626,NHIC,NewHold Investment Corp III,276.54M,-0.03%,71,-
627,AACI,Armada Acquisition Corp. II,275.71M,0.05%,120630,-
628,PMTR,Perimeter Acquisition Corp. I,272.14M,0.10%,63982,-
629,ANTA,Antalpha Platform Holding Company,270.73M,-6.16%,184792,47.45M
630,CHAC,Crane Harbor Acquisition Corp.,270.08M,-0.19%,234,-
631,TPVG,TriplePoint Venture Growth BDC Corp.,269.96M,0.60%,110789,101.26M
632,NECB,"Northeast Community Bancorp, Inc.",267.63M,-0.39%,20214,104.39M
633,FLIC,The First of Long Island Corporation,267.39M,0.43%,35443,85.36M
634,CRAC,Cal Redwood Acquisition Corp.,266.93M,0.10%,12730533,-
635,CBAN,"Colony Bankcorp, Inc.",266.01M,-0.13%,38158,113.76M
636,FNLC,"The First Bancorp, Inc.",265.16M,0.08%,12620,82.12M
637,SBXD,SilverBox Corp IV,264.99M,0.29%,5728,-
638,NODK,"NI Holdings, Inc.",263.91M,-0.86%,14123,322.14M
639,RM,Regional Management Corp.,260.91M,-0.53%,40407,577.65M
640,HVII,Hennessy Capital Investment Corp. VII,260.73M,-0.11%,30,-
641,PLBC,Plumas Bancorp,259.28M,-0.46%,5283,84.00M
642,BWFG,"Bankwell Financial Group, Inc.",257.32M,-0.86%,14655,69.11M
643,LNKB,"LINKBANCORP, Inc.",257.21M,-1.17%,23639,120.79M
644,OACC,Oaktree Acquisition Corp. III Life Sciences,255.66M,0.10%,709600,-
645,HLXB,Helix Acquisition Corp. II,254.84M,0.19%,1297,-
646,JRVR,"James River Group Holdings, Ltd.",249.66M,-1.09%,159879,678.79M
647,FACT,FACT II Acquisition Corp,248.57M,0.59%,126,-
648,ATII,Archimedes Tech SPAC Partners II Co.,248.34M,2.55%,1221,-
649,MVBF,MVB Financial Corp.,246.51M,0.11%,91044,146.10M
650,PLMK,Plum Acquisition Corp. IV,246.07M,-,36,-
