,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,JBHT,"J.B. Hunt Transport Services, Inc.",13.63B,-1.16%,792955,12.06B
86,IEX,IDEX Corporation,13.57B,-0.84%,421433,3.28B
87,ZTO,ZTO Express (Cayman) Inc.,13.53B,0.24%,2450283,6.23B
88,TXT,Textron Inc.,13.16B,-0.76%,804252,13.87B
89,MAS,Masco Corporation,13.08B,-1.42%,1677714,7.70B
90,APG,APi Group Corporation,12.63B,-0.24%,1252354,7.14B
91,WWD,"Woodward, Inc.",12.53B,2.24%,448702,3.36B
92,ALLE,Allegion plc,12.16B,-0.23%,617089,3.82B
93,UHAL,U-Haul Holding Company,12.15B,0.60%,106589,5.69B
94,CLH,"Clean Harbors, Inc.",12.14B,-0.53%,301088,5.95B
95,RTO,Rentokil Initial plc,11.99B,2.19%,531963,6.81B
96,BLDR,"Builders FirstSource, Inc.",11.97B,-1.37%,1382988,16.17B
97,MTZ,"MasTec, Inc.",11.83B,1.11%,772741,12.46B
98,FTAI,FTAI Aviation Ltd.,11.75B,1.46%,1205711,1.91B
99,RKLB,"Rocket Lab USA, Inc.",11.73B,-1.55%,14248838,466.02M
100,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",11.73B,2.25%,71927,1.44B
101,ITT,ITT Inc.,11.60B,-0.61%,380926,3.63B
102,STN,Stantec Inc.,11.59B,1.11%,167273,4.21B
103,LTM,LATAM Airlines Group S.A.,11.47B,2.41%,198441,12.91B
104,CRS,Carpenter Technology Corporation,11.46B,1.84%,886723,2.92B
105,OC,Owens Corning,11.38B,-0.99%,654340,11.49B
106,CHRW,"C.H. Robinson Worldwide, Inc.",11.37B,-0.80%,938547,17.36B
107,POOL,Pool Corporation,11.36B,-0.39%,363762,5.26B
108,RBC,RBC Bearings Incorporated,11.30B,0.20%,176228,1.64B
109,NDSN,Nordson Corporation,11.01B,-1.26%,319091,2.67B
110,DRS,"Leonardo DRS, Inc.",10.92B,0.79%,951236,3.35B
111,BWXT,"BWX Technologies, Inc.",10.92B,11.03%,2594233,2.78B
112,NVT,nVent Electric plc,10.74B,0.62%,1256954,3.08B
113,LECO,"Lincoln Electric Holdings, Inc.",10.69B,-1.02%,263227,4.03B
114,ATI,ATI Inc.,10.67B,0.65%,1775821,4.46B
115,CNM,"Core & Main, Inc.",10.46B,-0.32%,920711,7.44B
116,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",10.37B,1.03%,31235,1.60B
117,ARMK,Aramark,10.25B,0.62%,1287051,17.62B
118,SWK,"Stanley Black & Decker, Inc.",10.14B,-1.24%,1917782,15.24B
119,CR,Crane Company,9.78B,-0.37%,217379,2.18B
120,AOS,A. O. Smith Corporation,9.52B,-0.52%,1270450,3.80B
121,SARO,"StandardAero, Inc.",9.42B,0.57%,7277129,5.44B
122,TTEK,"Tetra Tech, Inc.",9.33B,-0.08%,2022011,4.56B
123,RRX,Regal Rexnord Corporation,8.91B,-0.46%,531130,5.90B
124,HII,"Huntington Ingalls Industries, Inc.",8.82B,0.11%,256760,11.46B
125,ERJ,Embraer S.A.,8.67B,0.17%,730079,6.52B
126,SMR,NuScale Power Corporation,8.60B,19.43%,48870266,49.04M
127,WMS,"Advanced Drainage Systems, Inc.",8.53B,-0.91%,493986,2.90B
128,AIT,"Applied Industrial Technologies, Inc.",8.49B,-0.19%,272715,4.50B
129,MLI,"Mueller Industries, Inc.",8.39B,-0.32%,629175,3.92B
130,DCI,"Donaldson Company, Inc.",8.15B,-0.92%,317664,3.63B
131,AAON,"AAON, Inc.",8.06B,-0.84%,291853,1.26B
132,WCC,"WESCO International, Inc.",8.04B,-0.70%,357130,21.81B
133,CAE,CAE Inc.,8.00B,0.48%,366952,3.28B
134,LOAR,Loar Holdings Inc.,7.99B,1.27%,934849,425.63M
135,AYI,Acuity Inc.,7.96B,-0.86%,139212,3.96B
136,BLD,TopBuild Corp.,7.95B,-0.39%,174594,5.28B
137,WTS,"Watts Water Technologies, Inc.",7.92B,-0.72%,154164,2.24B
138,MIDD,The Middleby Corporation,7.80B,-0.92%,543421,3.85B
139,AVAV,"AeroVironment, Inc.",7.68B,0.85%,278320,742.56M
140,AGCO,AGCO Corporation,7.49B,-2.09%,744011,10.78B
141,ESAB,ESAB Corporation,7.47B,-1.35%,171757,2.73B
142,AAL,American Airlines Group Inc.,7.38B,-1.84%,46827129,54.19B
143,TTC,The Toro Company,7.38B,-1.44%,862025,4.58B
144,CWST,"Casella Waste Systems, Inc.",7.34B,0.14%,271329,1.63B
145,GNRC,Generac Holdings Inc.,7.30B,-0.26%,541827,4.35B
146,TFII,TFI International Inc.,7.25B,-0.39%,373680,8.49B
147,DLB,"Dolby Laboratories, Inc.",7.17B,-1.19%,324323,1.32B
148,GTLS,"Chart Industries, Inc.",7.09B,-0.59%,291727,4.21B
149,AZEK,The AZEK Company Inc.,7.08B,-1.06%,2185369,1.52B
150,SAIA,"Saia, Inc.",7.02B,-1.39%,427907,3.24B
151,SPXC,"SPX Technologies, Inc.",7.00B,-0.04%,170196,2.00B
152,KNX,Knight-Swift Transportation Holdings Inc.,6.94B,-1.54%,1324006,7.41B
153,ADT,ADT Inc.,6.82B,0.86%,20751072,4.98B
154,FLR,Fluor Corporation,6.76B,9.21%,8253997,16.56B
155,AWI,"Armstrong World Industries, Inc.",6.71B,-0.49%,175885,1.50B
156,KBR,"KBR, Inc.",6.63B,-2.33%,1175510,7.98B
157,DY,"Dycom Industries, Inc.",6.51B,0.44%,793226,4.82B
158,FLS,Flowserve Corporation,6.49B,0.47%,946821,4.61B
159,LPX,Louisiana-Pacific Corporation,6.45B,1.27%,832602,2.94B
160,AL,Air Lease Corporation,6.36B,-0.42%,565344,2.81B
161,OSK,Oshkosh Corporation,6.29B,-0.70%,603197,10.50B
162,VMI,"Valmont Industries, Inc.",6.27B,-0.05%,66272,4.07B
163,MSA,MSA Safety Incorporated,6.20B,-0.35%,157108,1.82B
164,R,"Ryder System, Inc.",6.17B,-0.69%,250754,12.67B
165,ALK,"Alaska Air Group, Inc.",6.16B,1.20%,2242765,12.64B
166,TREX,"Trex Company, Inc.",6.10B,-0.45%,898605,1.12B
167,FBIN,"Fortune Brands Innovations, Inc.",6.04B,-0.93%,1565649,4.53B
168,KEX,Kirby Corporation,6.02B,0.19%,488155,3.24B
169,ZWS,Zurn Elkay Water Solutions Corporation,5.98B,-0.59%,601925,1.58B
170,JBTM,JBT Marel Corporation,5.89B,-1.03%,365930,2.18B
171,ACHR,Archer Aviation Inc.,5.81B,-0.09%,20051155,-
172,ROAD,"Construction Partners, Inc.",5.75B,2.15%,249852,2.19B
173,MOG.A,Moog Inc.,5.68B,-0.30%,123726,3.67B
174,MOG.B,Moog Inc.,5.64B,6.26%,47,3.67B
175,FCN,"FTI Consulting, Inc.",5.62B,0.09%,349084,3.67B
176,STRL,"Sterling Infrastructure, Inc.",5.61B,1.16%,330932,2.11B
177,FSS,Federal Signal Corporation,5.59B,-1.13%,368247,1.90B
178,KRMN,Karman Holdings Inc.,5.53B,-1.92%,893649,362.37M
179,KTOS,"Kratos Defense & Security Solutions, Inc.",5.52B,2.30%,2389148,1.16B
180,GTES,Gates Industrial Corporation plc,5.38B,-0.38%,994877,3.39B
181,BBU,Brookfield Business Partners L.P.,5.28B,0.24%,12200,35.35B
182,JOBY,"Joby Aviation, Inc.",5.25B,-0.15%,7632214,111.00K
183,SITE,"SiteOne Landscape Supply, Inc.",5.19B,0.02%,432001,4.58B
184,GATX,GATX Corporation,5.15B,-0.71%,140795,1.63B
185,CSWI,"CSW Industrials, Inc.",5.06B,-0.41%,192411,878.30M
186,AMTM,"Amentum Holdings, Inc.",5.00B,-3.16%,1351354,11.26B
187,WSC,WillScot Holdings Corporation,4.98B,-0.26%,1054656,2.37B
188,IESC,"IES Holdings, Inc.",4.86B,2.02%,72231,3.13B
189,TKR,The Timken Company,4.79B,-1.23%,375851,4.52B
190,LSTR,"Landstar System, Inc.",4.79B,-0.95%,219777,4.82B
191,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",4.70B,-2.25%,83410,728.35M
192,RHI,Robert Half Inc.,4.55B,-1.73%,1124961,5.67B
193,GXO,"GXO Logistics, Inc.",4.53B,-1.98%,580671,12.23B
194,BE,Bloom Energy Corporation,4.52B,6.04%,5070338,1.56B
195,CPA,"Copa Holdings, S.A.",4.40B,1.61%,742621,3.45B
196,MSM,"MSC Industrial Direct Co., Inc.",4.38B,-0.48%,353418,3.75B
197,SPR,"Spirit AeroSystems Holdings, Inc.",4.35B,-0.32%,653114,6.14B
198,AEIS,"Advanced Energy Industries, Inc.",4.29B,-1.76%,169742,1.56B
199,CAR,"Avis Budget Group, Inc.",4.21B,1.66%,1500561,11.67B
200,ACA,"Arcosa, Inc.",4.13B,-0.11%,162754,2.60B
201,HXL,Hexcel Corporation,4.13B,-1.29%,1096860,1.89B
202,MMS,"Maximus, Inc.",4.08B,-1.75%,456402,5.40B
203,SNDR,"Schneider National, Inc.",4.07B,-1.19%,647875,5.37B
204,MIR,"Mirion Technologies, Inc.",4.02B,5.84%,10836231,870.20M
