,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
85,HL,Hecla Mining Company,3.18B,1.59%,12675750,1.00B
86,EQX,Equinox Gold Corp.,3.06B,2.44%,15605593,1.70B
87,SSL,Sasol Limited,2.99B,1.79%,1667399,13.82B
88,FUL,H.B. Fuller Company,2.94B,-1.11%,216120,3.55B
89,USLM,"United States Lime & Minerals, Inc.",2.93B,-1.88%,69258,337.29M
90,AG,First Majestic Silver Corp.,2.90B,0.34%,23515619,698.53M
91,HWKN,"Hawkins, Inc.",2.67B,1.41%,114707,974.43M
92,SAND,Sandstorm Gold Ltd.,2.56B,2.70%,4335248,183.54M
93,TTAM,Titan America SA,2.52B,-1.37%,153151,1.63B
94,HCC,"Warrior Met Coal, Inc.",2.38B,1.07%,685210,1.32B
95,SSRM,SSR Mining Inc.,2.33B,3.23%,1946655,1.08B
96,ASH,Ashland Inc.,2.25B,-1.48%,507348,1.95B
97,OLN,Olin Corporation,2.23B,-0.92%,1694351,6.55B
98,MEOH,Methanex Corporation,2.21B,0.03%,452746,3.70B
99,SLVM,Sylvamo Corporation,2.21B,-2.62%,322743,3.69B
100,IOSP,Innospec Inc.,2.14B,-0.45%,126310,1.79B
101,SID,Companhia Siderúrgica Nacional,2.06B,1.27%,5036191,7.83B
102,HUN,Huntsman Corporation,1.98B,-2.06%,2970274,5.98B
103,MAG,MAG Silver Corp.,1.94B,1.14%,663947,-
104,KWR,Quaker Chemical Corporation,1.88B,-0.13%,227460,1.81B
105,MTX,Minerals Technologies Inc.,1.84B,-1.07%,263928,2.08B
106,FSM,Fortuna Mining Corp.,1.79B,0.69%,15927731,1.15B
107,PRM,"Perimeter Solutions, Inc.",1.73B,-0.51%,886340,573.95M
108,CSTM,Constellium SE,1.67B,-1.18%,1507668,7.43B
109,LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,1.61B,3.30%,701378,636.70M
110,TMC,TMC the metals company Inc.,1.61B,7.44%,11417794,-
111,MTRN,Materion Corporation,1.60B,-0.07%,124143,1.72B
112,BAK,Braskem S.A.,1.55B,8.71%,4716671,13.77B
113,CC,The Chemours Company,1.54B,-5.07%,2997531,5.79B
114,AMR,"Alpha Metallurgical Resources, Inc.",1.51B,0.78%,282655,2.63B
115,NGVT,Ingevity Corporation,1.49B,-1.02%,246618,1.35B
116,ERO,Ero Copper Corp.,1.48B,3.70%,648007,489.55M
117,CENX,Century Aluminum Company,1.46B,1.29%,929603,2.36B
118,CGAU,Centerra Gold Inc.,1.44B,2.66%,1001821,1.21B
119,NG,NovaGold Resources Inc.,1.43B,-0.56%,4006696,-
120,SKE,Skeena Resources Limited,1.40B,-1.29%,850753,-
121,DRD,DRDGOLD Limited,1.35B,4.06%,191853,374.32M
122,WS,"Worthington Steel, Inc.",1.30B,-1.53%,222511,3.17B
123,SCL,Stepan Company,1.23B,-0.82%,177998,2.22B
124,SA,Seabridge Gold Inc.,1.23B,0.58%,540057,-
125,CLMT,"Calumet, Inc.",1.23B,0.32%,1072746,4.18B
126,ARMN,Aris Mining Corporation,1.13B,4.07%,1311638,560.51M
127,KALU,Kaiser Aluminum Corporation,1.12B,0.09%,104096,3.06B
128,EXK,Endeavour Silver Corp.,1.04B,2.56%,14736978,217.41M
129,PPTA,Perpetua Resources Corp.,985.15M,4.77%,910786,-
130,CNL,Collective Mining Ltd.,946.98M,5.54%,44347,-
131,IE,Ivanhoe Electric Inc.,920.18M,3.43%,725612,3.28M
132,UAN,"CVR Partners, LP",863.54M,-0.73%,12366,540.53M
133,ECVT,Ecovyst Inc.,857.02M,-1.22%,2165069,706.15M
134,USAR,"USA Rare Earth, Inc.",844.78M,2.09%,642863,-
135,MTAL,MAC Copper Limited,837.26M,1.81%,229938,340.74M
136,RDUS,"Radius Recycling, Inc.",835.06M,0.59%,948224,2.74B
137,VZLA,Vizsla Silver Corp.,813.83M,2.57%,1932266,-
138,SVM,Silvercorp Metals Inc.,805.73M,-4.13%,7094807,298.90M
139,CMP,"Compass Minerals International, Inc.",798.70M,0.79%,393580,1.21B
140,WLKP,Westlake Chemical Partners LP,785.12M,-1.15%,21636,1.09B
141,IPX,IperionX Limited,777.99M,3.42%,72859,-
142,KRO,"Kronos Worldwide, Inc.",755.79M,-1.79%,202547,1.90B
143,TROX,Tronox Holdings plc,751.11M,-4.44%,3335346,3.04B
144,SLSR,Solaris Resources Inc.,737.78M,9.18%,74193,-
145,GSM,Ferroglobe PLC,714.78M,1.86%,797993,1.56B
146,SXC,"SunCoke Energy, Inc.",711.92M,0.60%,563023,1.88B
147,ODC,Oil-Dri Corporation of America,695.80M,-0.21%,28273,465.34M
148,REX,REX American Resources Corporation,690.89M,-0.43%,60024,642.49M
149,TGB,Taseko Mines Limited,679.41M,3.86%,9858921,417.64M
150,NEXA,Nexa Resources S.A.,660.41M,-5.99%,191434,2.81B
151,SGML,Sigma Lithium Corporation,659.96M,-0.67%,1585647,152.52M
152,ASPI,ASP Isotopes Inc.,644.78M,10.13%,12336756,4.41M
153,LAC,Lithium Americas Corp.,618.77M,0.35%,4715980,-
154,ASIX,AdvanSix Inc.,618.03M,-2.33%,122753,1.56B
155,KOP,Koppers Holdings Inc.,605.50M,-0.36%,177812,2.05B
156,OEC,Orion S.A.,592.52M,-3.39%,456556,1.85B
157,ASTL,Algoma Steel Group Inc.,566.64M,0.56%,477037,1.64B
158,NAK,Northern Dynasty Minerals Ltd.,555.88M,3.27%,3026605,-
159,LXU,"LSB Industries, Inc.",526.15M,-0.27%,586570,527.63M
160,MTUS,Metallus Inc.,516.89M,-1.52%,361479,1.04B
161,METC,"Ramaco Resources, Inc.",496.16M,2.60%,485971,628.28M
162,CPAC,Cementos Pacasmayo S.A.A.,491.00M,1.50%,943,545.79M
163,METCB,"Ramaco Resources, Inc.",487.21M,-0.12%,31232,628.28M
164,CLW,Clearwater Paper Corporation,470.28M,-1.09%,188528,1.50B
165,IPI,"Intrepid Potash, Inc.",452.20M,1.10%,189873,217.87M
166,ASM,Avino Silver & Gold Mines Ltd.,441.77M,3.03%,3932030,72.62M
167,VHI,"Valhi, Inc.",434.89M,-2.35%,6918,2.11B
168,MUX,McEwen Mining Inc.,429.74M,3.78%,796022,168.95M
169,MAGN,Magnera Corporation,425.06M,0.59%,1095147,2.64B
170,USAS,Americas Gold and Silver Corporation,417.15M,7.23%,1698423,102.88M
171,IAUX,i-80 Gold Corp.,412.86M,0.12%,4573898,55.97M
172,NWPX,Northwest Pipe Company,393.49M,-0.29%,37420,495.45M
173,GAU,Galiano Gold Inc.,363.05M,2.92%,866863,276.23M
174,SLI,Standard Lithium Ltd.,343.44M,8.02%,5676649,-
175,MSB,Mesabi Trust,336.79M,0.71%,16879,27.41M
176,DC,Dakota Gold Corp.,336.79M,3.08%,382074,-
177,ZEUS,"Olympic Steel, Inc.",335.89M,-1.63%,72058,1.91B
178,CMCL,Caledonia Mining Corporation Plc,332.06M,3.24%,167367,190.57M
179,GROY,Gold Royalty Corp.,313.70M,2.79%,2348789,10.35M
180,HDSN,"Hudson Technologies, Inc.",307.84M,-1.46%,333118,227.21M
181,ITRG,Integra Resources Corp.,304.57M,10.53%,1397143,87.38M
182,LAR,Lithium Argentina AG,303.65M,1.65%,898927,-
183,MATV,"Mativ Holdings, Inc.",303.21M,-4.31%,520620,1.97B
184,UAMY,United States Antimony Corporation,298.35M,-1.56%,1966308,18.87M
185,BIOX,Bioceres Crop Solutions Corp.,290.35M,3.31%,233621,383.29M
186,LVRO,Lavoro Limited,280.77M,-5.51%,552,1.67B
187,NMG,Nouveau Monde Graphite Inc.,277.71M,9.88%,53176,-
188,GPRE,Green Plains Inc.,275.33M,-4.74%,1139075,2.46B
189,MNTK,"Montauk Renewables, Inc.",272.27M,-1.54%,179730,179.55M
190,MTA,Metalla Royalty & Streaming Ltd.,271.53M,0.34%,214378,6.35M
191,NFGC,New Found Gold Corp.,264.04M,3.82%,2067360,-
192,RYAM,Rayonier Advanced Materials Inc.,259.75M,-1.02%,709739,1.60B
193,GEVO,"Gevo, Inc.",257.80M,2.78%,2224004,42.03M
194,ODV,Osisko Development Corp.,256.19M,-1.06%,494638,1.94M
195,LZM,Lifezone Metals Limited,252.80M,0.96%,91744,140.52K
196,WRN,Western Copper and Gold Corporation,247.07M,-2.38%,564444,-
197,EMX,EMX Royalty Corporation,245.62M,2.70%,709981,29.63M
198,MERC,Mercer International Inc.,238.65M,-3.77%,516439,2.00B
199,NEWP,New Pacific Metals Corp.,233.56M,9.60%,398526,-
200,DVS,Dolly Varden Silver Corporation,221.58M,5.17%,266454,-
201,CTGO,"Contango Ore, Inc.",220.72M,2.07%,143330,-
202,TMQ,Trilogy Metals Inc.,204.05M,-0.79%,243860,-
203,IONR,ioneer Ltd,191.41M,-1.60%,5781,-
204,IDR,"Idaho Strategic Resources, Inc.",189.71M,8.61%,475286,27.14M
205,THM,International Tower Hill Mines Ltd.,181.27M,4.61%,235968,-
206,FF,FutureFuel Corp.,170.83M,-0.76%,307881,202.60M
207,VOXR,Vox Royalty Corp.,167.74M,-0.90%,280782,10.85M
208,CRML,Critical Metals Corp.,158.51M,-1.92%,2309418,476.98K
209,SMID,Smith-Midland Corporation,155.45M,-1.44%,19822,76.37M
210,VGZ,Vista Gold Corp.,153.54M,0.82%,902060,-
211,PLG,Platinum Group Metals Ltd.,151.73M,2.11%,1530030,-
212,GLDG,GoldMining Inc.,150.99M,0.58%,434131,-
213,NB,NioCorp Developments Ltd.,137.60M,2.92%,614074,-
214,CMT,"Core Molding Technologies, Inc.",134.88M,-1.45%,21754,285.68M
215,USAU,U.S. Gold Corp.,134.60M,3.26%,229048,-
216,PLL,Piedmont Lithium Inc.,132.67M,-0.62%,120164,106.47M
217,LWLG,"Lightwave Logic, Inc.",131.29M,-7.08%,1026733,88.11K
218,ACNT,Ascent Industries Co.,125.02M,-0.96%,36154,174.65M
219,USGO,U.S. GoldMining Inc.,122.96M,11.45%,26509,-
220,AVD,American Vanguard Corporation,119.18M,-2.82%,156121,553.84M
221,FRD,"Friedman Industries, Incorporated",113.41M,-0.87%,5817,447.62M
222,ABAT,American Battery Technology Company,111.75M,2.33%,823695,1.86M
223,KBSX,FST Corp.,104.01M,-2.84%,8871,36.50M
224,AMTX,"Aemetis, Inc.",97.45M,0.57%,542353,237.89M
225,TSE,Trinseo PLC,91.62M,-1.15%,268645,3.39B
226,TRX,TRX Gold Corporation,89.17M,2.22%,331913,45.41M
227,LODE,Comstock Inc.,87.27M,-0.97%,623930,3.38M
228,LGO,Largo Inc.,84.79M,4.69%,97893,110.97M
229,GORO,Gold Resource Corporation,83.02M,3.44%,896394,59.38M
230,HYMC,Hycroft Mining Holding Corporation,77.45M,5.08%,247220,-
231,HLP,Hongli Group Inc.,77.12M,-1.86%,23720,14.11M
232,FEAM,"5E Advanced Materials, Inc.",76.12M,-0.89%,2176,-
233,ALTO,"Alto Ingredients, Inc.",74.89M,5.66%,291334,951.17M
234,ORGN,"Origin Materials, Inc.",71.81M,0.65%,762691,29.89M
235,ATLX,Atlas Lithium Corporation,70.99M,0.51%,216989,587.12K
236,NTIC,Northern Technologies International Corporation,68.50M,-1.23%,26778,84.45M
237,NVA,Nova Minerals Limited,64.83M,-3.15%,5877,-
238,FURY,Fury Gold Mines Limited,59.42M,-0.08%,162418,-
239,FSI,"Flexible Solutions International, Inc.",58.05M,4.79%,26444,36.48M
240,AREC,American Resources Corporation,53.38M,-5.27%,1762991,383.23K
241,GRO,Brazil Potash Corp.,51.86M,3.05%,118177,-
242,XPL,Solitario Resources Corp.,49.55M,-0.79%,39528,-
243,LOOP,"Loop Industries, Inc.",48.57M,4.08%,36174,126.00K
244,PZG,Paramount Gold Nevada Corp.,35.01M,1.64%,516329,-
245,WWR,"Westwater Resources, Inc.",33.50M,-1.82%,1134533,-
246,GTI,Graphjet Technology,29.05M,8.72%,9705052,-
247,OMEX,"Odyssey Marine Exploration, Inc.",28.02M,-4.37%,1228850,700.61K
248,LITM,Snow Lake Resources Ltd.,27.93M,14.37%,16693004,-
249,FMST,Foremost Clean Energy Ltd.,27.32M,0.77%,737962,-
250,NWGL,Nature Wood Group Limited,24.66M,-13.61%,335078,21.54M
251,RETO,"ReTo Eco-Solutions, Inc.",23.06M,-5.72%,3671,1.83M
252,ELBM,Electra Battery Materials Corporation,21.37M,-2.37%,16876,-
253,HUDI,"Huadi International Group Co., Ltd.",19.99M,-5.47%,13635,74.27M
254,AUST,Austin Gold Corp.,18.45M,10.32%,179299,-
255,ENFY,Enlightify Inc.,15.31M,-5.47%,42444,87.36M
256,CAPT,Captivision Inc.,14.66M,6.59%,202325,17.39M
257,ZKIN,"ZK International Group Co., Ltd.",14.20M,-,42528,108.20M
258,JCTC,Jewett-Cameron Trading Company Ltd.,13.16M,-1.56%,6366,47.43M
259,SANW,S&W Seed Company,12.08M,-1.23%,7535,54.99M
260,CAPS,Capstone Holding Corp.,10.07M,1.57%,73859,43.42M
261,SEED,Origin Agritech Limited,8.18M,-6.72%,21728,16.16M
262,NITO,"N2OFF, Inc.",7.46M,0.93%,2420794,232.00K
263,GURE,"Gulf Resources, Inc.",7.09M,0.81%,24794,7.96M
264,BSLK,"Bolt Projects Holdings, Inc.",6.72M,-14.99%,27063,1.53M
265,INHD,Inno Holdings Inc.,5.82M,5.60%,233045,1.56M
266,BGLC,BioNexus Gene Lab Corp.,5.28M,-1.06%,16254,9.27M
267,SNES,"SenesTech, Inc.",4.65M,-2.24%,11083,1.93M
268,ITP,"IT Tech Packaging, Inc.",3.44M,12.50%,5208263,79.87M
269,CNEY,CN Energy Group. Inc.,1.36M,-3.12%,67754,50.96M
270,BON,Bon Natural Life Limited,300.28K,-14.29%,2200936,23.84M
