,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,SMCI,"Super Micro Computer, Inc.",23.93B,-2.98%,37887668,21.57B
83,STX,Seagate Technology Holdings plc,23.93B,3.56%,5950798,8.54B
84,UI,Ubiquiti Inc.,23.79B,0.24%,59824,2.32B
85,FTV,Fortive Corporation,23.68B,-0.68%,3463821,6.18B
86,DUOL,"Duolingo, Inc.",23.65B,0.47%,456328,811.21M
87,GIB,CGI Inc.,23.55B,-0.33%,257431,10.53B
88,HPE,Hewlett Packard Enterprise Company,22.88B,-0.74%,9262347,31.23B
89,CPAY,"Corpay, Inc.",22.86B,-0.56%,333818,4.05B
90,TDY,Teledyne Technologies Incorporated,22.78B,-0.37%,156325,5.77B
91,STM,STMicroelectronics N.V.,21.75B,-3.06%,7650968,12.32B
92,OKTA,"Okta, Inc.",21.66B,-0.15%,1929023,2.61B
93,NTNX,"Nutanix, Inc.",21.27B,-0.13%,1713389,2.32B
94,ASX,"ASE Technology Holding Co., Ltd.",20.88B,-2.43%,16241830,18.36B
95,GRAB,Grab Holdings Limited,20.41B,-0.20%,12721175,2.92B
96,GFS,GlobalFoundries Inc.,20.28B,-2.48%,1491483,6.79B
97,PTC,PTC Inc.,20.24B,-0.94%,691817,2.35B
98,NTAP,"NetApp, Inc.",19.93B,-1.78%,2840129,6.51B
99,UMC,United Microelectronics Corporation,19.73B,-3.10%,12474432,7.08B
100,SSNC,"SS&C Technologies Holdings, Inc.",19.68B,1.13%,1135258,5.96B
101,LDOS,"Leidos Holdings, Inc.",19.63B,-3.67%,1568074,16.93B
102,CYBR,CyberArk Software Ltd.,19.18B,2.00%,887799,1.10B
103,PSTG,"Pure Storage, Inc.",18.14B,-1.09%,2769987,3.17B
104,RBRK,"Rubrik, Inc.",17.86B,1.36%,1819390,886.54M
105,JBL,Jabil Inc.,17.75B,0.17%,595325,27.45B
106,GWRE,"Guidewire Software, Inc.",17.61B,0.93%,988650,1.08B
107,WDC,Western Digital Corporation,17.51B,0.68%,5762554,15.61B
108,TWLO,Twilio Inc.,17.33B,-2.06%,1958123,4.58B
109,ON,ON Semiconductor Corporation,17.25B,-2.41%,9859668,6.67B
110,DOCU,"DocuSign, Inc.",17.13B,-2.22%,1326105,2.98B
111,GEN,Gen Digital Inc.,17.11B,-0.61%,4625107,3.94B
112,FSLR,"First Solar, Inc.",16.99B,1.30%,3563567,4.26B
113,TRMB,Trimble Inc.,16.83B,-0.34%,928708,3.57B
114,FFIV,"F5, Inc.",16.20B,-0.84%,245052,2.94B
115,DT,"Dynatrace, Inc.",15.96B,-1.70%,2146231,1.70B
116,AFRM,"Affirm Holdings, Inc.",15.90B,0.67%,6817289,3.01B
117,ALAB,"Astera Labs, Inc.",15.60B,0.34%,3226760,490.47M
118,FLEX,Flex Ltd.,15.49B,0.10%,2821800,25.81B
119,KSPI,Joint Stock Company Kaspi.kz,15.39B,-0.27%,155981,5.56B
120,MDB,"MongoDB, Inc.",15.09B,-1.45%,1251459,2.01B
121,BSY,"Bentley Systems, Incorporated",14.96B,-0.48%,858375,1.39B
122,MNDY,monday.com Ltd.,14.65B,-0.38%,283612,1.04B
123,ZBRA,Zebra Technologies Corporation,14.45B,-1.44%,325207,5.11B
124,PAYC,"Paycom Software, Inc.",14.45B,-1.38%,413584,1.91B
125,CLS,Celestica Inc.,13.70B,0.97%,2908819,10.09B
126,JKHY,"Jack Henry & Associates, Inc.",13.25B,0.24%,522496,2.32B
127,LOGI,Logitech International S.A.,12.74B,-3.12%,636856,4.55B
128,TER,"Teradyne, Inc.",12.35B,-1.92%,1814152,2.91B
129,COHR,Coherent Corp.,12.20B,-0.53%,2309179,5.60B
130,JNPR,"Juniper Networks, Inc.",12.03B,0.06%,1783560,5.20B
131,YMM,Full Truck Alliance Co. Ltd.,11.68B,0.27%,7753335,1.61B
132,CIEN,Ciena Corporation,11.40B,0.12%,704961,4.05B
133,IONQ,"IonQ, Inc.",11.32B,-0.22%,53826686,43.06M
134,MANH,"Manhattan Associates, Inc.",11.25B,-1.21%,692230,1.05B
135,TTAN,"ServiceTitan, Inc.",11.11B,-0.36%,394825,771.88M
136,AKAM,"Akamai Technologies, Inc.",11.09B,-1.61%,1946691,4.02B
137,ENTG,"Entegris, Inc.",10.95B,-1.13%,2879527,3.24B
138,PCTY,Paylocity Holding Corporation,10.76B,-1.05%,300566,1.55B
139,AUR,"Aurora Innovation, Inc.",10.51B,-1.49%,14333555,-
140,CRDO,Credo Technology Group Holding Ltd,10.49B,1.65%,1954271,327.53M
141,SWKS,"Skyworks Solutions, Inc.",10.42B,-1.38%,3885153,3.95B
142,NICE,NICE Ltd.,10.42B,-1.03%,308043,2.78B
143,SNX,TD SYNNEX Corporation,10.19B,-0.72%,398895,59.01B
144,DOX,Amdocs Limited,10.16B,-0.28%,690031,4.75B
145,CACI,CACI International Inc,10.15B,-2.77%,340472,8.36B
146,PCOR,"Procore Technologies, Inc.",10.04B,-0.58%,1188689,1.19B
147,EPAM,"EPAM Systems, Inc.",9.97B,-2.59%,1057165,4.86B
148,DSGX,The Descartes Systems Group Inc.,9.82B,0.65%,293940,651.00M
149,ESTC,Elastic N.V.,9.63B,-0.81%,1141727,1.43B
150,QXO,"QXO, Inc.",9.53B,-0.12%,11427169,55.95M
151,SAIL,"SailPoint, Inc.",9.51B,-0.84%,2325524,861.61M
152,KVYO,"Klaviyo, Inc.",9.24B,-0.62%,1797838,1.01B
153,DAY,Dayforce Inc.,9.15B,-1.92%,1059142,1.81B
154,MTSI,"MACOM Technology Solutions Holdings, Inc.",9.05B,0.07%,429025,845.21M
155,KD,"Kyndryl Holdings, Inc.",9.04B,-1.22%,1089946,15.06B
156,U,Unity Software Inc.,8.63B,-5.08%,9614891,1.79B
157,WIX,Wix.com Ltd.,8.46B,-2.41%,1340721,1.81B
158,FN,Fabrinet,8.25B,0.89%,542931,3.26B
159,PEGA,Pegasystems Inc.,8.22B,-3.39%,811752,1.64B
160,NXT,Nextracker Inc.,8.20B,-,1882388,2.96B
161,DBX,"Dropbox, Inc.",8.05B,-0.52%,2825903,2.54B
162,ASTS,"AST SpaceMobile, Inc.",7.91B,-1.29%,6938693,4.64M
163,FOUR,"Shift4 Payments, Inc.",7.90B,1.77%,1109885,3.47B
164,GTLB,GitLab Inc.,7.84B,-0.57%,1868549,759.25M
165,CVLT,"Commvault Systems, Inc.",7.70B,-0.55%,265286,995.62M
166,G,Genpact Limited,7.61B,-0.02%,945683,4.85B
167,APPF,"AppFolio, Inc.",7.56B,0.72%,180159,824.47M
168,CFLT,"Confluent, Inc.",7.43B,-0.23%,3483083,1.02B
169,EXLS,"ExlService Holdings, Inc.",7.42B,-0.61%,1715136,1.90B
170,OTEX,Open Text Corporation,7.17B,-0.64%,764035,5.22B
171,BMI,"Badger Meter, Inc.",7.17B,-0.09%,158098,852.49M
172,SRAD,Sportradar Group AG,7.14B,0.76%,1467882,1.25B
173,PSN,Parsons Corporation,7.07B,-2.56%,1384849,6.77B
174,QRVO,"Qorvo, Inc.",6.94B,-1.97%,2089785,3.72B
175,OS,"OneStream, Inc.",6.81B,-,1214456,515.43M
176,INFA,Informatica Inc.,6.80B,17.45%,20198079,1.66B
177,OLED,Universal Display Corporation,6.80B,-1.71%,435181,648.70M
178,LYFT,"Lyft, Inc.",6.77B,0.69%,12544322,5.96B
179,PATH,UiPath Inc.,6.62B,0.24%,9267127,1.43B
180,S,"SentinelOne, Inc.",6.54B,-0.15%,2306710,821.46M
181,LSCC,Lattice Semiconductor Corporation,6.41B,-1.67%,1874661,488.74M
182,CWAN,"Clearwater Analytics Holdings, Inc.",6.24B,-0.63%,2102846,475.95M
183,PONY,Pony AI Inc.,6.19B,-15.44%,15117987,76.48M
184,ARW,"Arrow Electronics, Inc.",6.08B,-1.70%,264306,27.81B
185,VERX,"Vertex, Inc.",6.01B,-2.84%,635921,687.06M
186,RMBS,Rambus Inc.,5.74B,-1.91%,771808,605.42M
187,SATS,EchoStar Corporation,5.68B,-5.68%,1818619,15.68B
188,BULL,Webull Corporation,5.68B,-8.89%,12450861,388.97M
189,MKSI,MKS Inc.,5.62B,-1.26%,767233,3.65B
190,CCCS,CCC Intelligent Solutions Holdings Inc.,5.58B,-3.75%,8636940,969.13M
191,GDS,GDS Holdings Limited,5.54B,1.21%,844079,1.46B
192,SAIC,Science Applications International Corporation,5.53B,-4.22%,700397,7.48B
193,IDCC,"InterDigital, Inc.",5.51B,-0.12%,168156,815.48M
194,QBTS,D-Wave Quantum Inc.,5.49B,-1.26%,148771400,21.36M
195,SPSC,"SPS Commerce, Inc.",5.43B,-1.91%,214591,669.74M
196,SNDK,Sandisk Corporation,5.42B,-1.48%,1232909,7.21B
197,QTWO,"Q2 Holdings, Inc.",5.39B,-0.84%,285011,720.69M
198,NVMI,Nova Ltd.,5.36B,-0.93%,122705,743.95M
199,LITE,Lumentum Holdings Inc.,5.26B,-0.14%,1133171,1.47B
200,VRNS,"Varonis Systems, Inc.",5.24B,0.13%,705405,573.35M
201,VNT,Vontier Corporation,5.21B,-1.54%,541753,2.96B
202,ENPH,"Enphase Energy, Inc.",5.20B,4.29%,10174955,1.42B
203,CRUS,"Cirrus Logic, Inc.",5.15B,-2.24%,769252,1.90B
204,ITRI,"Itron, Inc.",5.13B,0.32%,363491,2.44B
205,LFUS,"Littelfuse, Inc.",5.08B,-2.09%,165016,2.21B
206,CGNX,Cognex Corporation,4.99B,-0.57%,2310435,919.75M
207,QLYS,"Qualys, Inc.",4.89B,-1.41%,273690,621.67M
208,FROG,JFrog Ltd.,4.87B,-0.65%,598433,450.58M
209,ACIW,"ACI Worldwide, Inc.",4.86B,-0.39%,1010935,1.67B
210,LIF,"Life360, Inc.",4.80B,1.19%,722524,396.88M
211,GRND,Grindr Inc.,4.70B,1.18%,1392286,363.23M
212,ALGM,"Allegro MicroSystems, Inc.",4.70B,-1.89%,1357599,725.01M
213,SITM,SiTime Corporation,4.69B,-3.25%,252198,229.99M
214,PAY,"Paymentus Holdings, Inc.",4.65B,-2.00%,559210,962.11M
215,ESE,ESCO Technologies Inc.,4.61B,-0.14%,132859,1.07B
216,BILL,"BILL Holdings, Inc.",4.57B,0.79%,1996136,1.42B
217,INGM,Ingram Micro Holding Corporation,4.57B,-1.22%,181651,48.93B
218,WEX,WEX Inc.,4.57B,-2.87%,399752,2.61B
219,RELY,"Remitly Global, Inc.",4.55B,-1.46%,2234431,1.36B
220,EEFT,"Euronet Worldwide, Inc.",4.55B,-0.91%,305334,4.05B
221,TSEM,Tower Semiconductor Ltd.,4.54B,-0.32%,273845,1.47B
222,AMKR,"Amkor Technology, Inc.",4.51B,-2.35%,1477969,6.27B
223,BOX,"Box, Inc.",4.50B,-0.54%,1665426,1.09B
224,SANM,Sanmina Corporation,4.50B,-0.30%,412783,7.85B
