,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,WFRD,Weatherford International plc,3.30B,-1.37%,748299,5.35B
87,EE,"Excelerate Energy, Inc.",3.30B,1.58%,272250,966.41M
88,SOC,Sable Offshore Corp.,3.19B,-0.59%,2926412,-
89,UGP,Ultrapar Participações S.A.,3.15B,-0.67%,3258446,23.80B
90,KGS,"Kodiak Gas Services, Inc.",3.03B,0.82%,640883,1.27B
91,MUR,Murphy Oil Corporation,2.98B,-0.52%,1493229,2.90B
92,USAC,"USA Compression Partners, LP",2.94B,1.26%,194074,966.41M
93,BSM,"Black Stone Minerals, L.P.",2.85B,0.15%,225340,422.06M
94,UEC,Uranium Energy Corp.,2.77B,25.00%,67062453,66.84M
95,SM,SM Energy Company,2.65B,-0.04%,1602058,2.85B
96,NOG,"Northern Oil and Gas, Inc.",2.65B,0.37%,1162970,2.07B
97,CSAN,Cosan S.A.,2.63B,4.18%,2842549,7.63B
98,STR,Sitio Royalties Corp.,2.59B,0.47%,499606,636.54M
99,VAL,Valaris Limited,2.58B,0.61%,1037236,2.46B
100,CIVI,"Civitas Resources, Inc.",2.56B,0.07%,1563521,5.07B
101,PBF,PBF Energy Inc.,2.36B,-1.84%,2643323,31.54B
102,CVI,"CVR Energy, Inc.",2.36B,-1.63%,1033594,7.39B
103,DKL,"Delek Logistics Partners, LP",2.25B,2.48%,151831,938.49M
104,PTEN,"Patterson-UTI Energy, Inc.",2.21B,0.53%,13670586,5.15B
105,RIG,Transocean Ltd.,2.20B,3.32%,32936569,3.67B
106,CRGY,Crescent Energy Company,2.18B,-0.93%,3569449,3.22B
107,GEL,"Genesis Energy, L.P.",1.99B,3.64%,512617,2.93B
108,NEXT,NextDecade Corporation,1.96B,1.41%,1694338,-
109,TDW,Tidewater Inc.,1.95B,0.13%,549742,1.36B
110,LEU,Centrus Energy Corp.,1.93B,21.59%,4260230,471.40M
111,OII,"Oceaneering International, Inc.",1.91B,-,458440,2.74B
112,LBRT,Liberty Energy Inc.,1.90B,0.86%,2553470,4.22B
113,STNG,Scorpio Tankers Inc.,1.89B,1.50%,402554,1.07B
114,DHT,"DHT Holdings, Inc.",1.88B,3.18%,1462959,563.10M
115,INSW,"International Seaways, Inc.",1.84B,2.61%,587365,860.61M
116,BKV,BKV Corporation,1.83B,-0.37%,200719,689.57M
117,SEI,"Solaris Energy Infrastructure, Inc.",1.83B,6.37%,2068263,371.53M
118,CMBT,Cmb.Tech NV,1.73B,1.61%,104354,934.91M
119,GLP,Global Partners LP,1.73B,2.86%,43429,17.61B
120,TRMD,TORM plc,1.73B,0.89%,869763,1.44B
121,BTU,Peabody Energy Corporation,1.69B,2.73%,3644802,4.19B
122,FLOC,Flowco Holdings Inc.,1.66B,0.66%,253094,660.92M
